feed_timestamp,feed
2025-04-22 17:20:22.524337,"[{""busNumber"": ""MH08EE7890"", ""stops"": [{""stop_id"": ""AMBVCLG02"", ""stop_name"": ""AMBAV CLG""}], ""first_update"": 1745322598, ""last_update"": 1745322598, ""trip_id"": ""5004"", ""route_id"": ""32""}]"
2025-04-24T23:14:04.129104,[]
